이름,주소,전화번호,위도,경도,가격정보,장소정보,주차난이도,주차장 정보,편의시설 정보,홈페이지URL,장소이름,이미지 경로,썸네일이미지 경로,행사 시작일,행사 종료일,운영시간,이용시간,연령제한,예약URL,요약정보,행사 설명,할인정보,서브 행사 정보,프로그램 내용,실내외 여부,추가 이미지 정보
도산별과대전,경상북도 안동시 도산서원길 154 도산서원,054-859-0825,128.8403803732,36.7279408670,무료,,,,,,도산서원,http://tong.visitkorea.or.kr/cms/resource/27/3000327_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/3000327_image3_1.jpg,20231007,20231007,10:00~,,,,"도산별과란 정조임금께서 퇴계선생 사후 222년 되던 해인 1792년(정조 16)에 각신 이만수를 보내서 도산서원에서 치제하게 한 뒤에 선생을 추모하는 뜻에서 그곳에서 과거시험을 치르게 했던 역사적 사실을 말한다.퇴계선생의 학덕과 유섭을 기리고 영남의 인재선발을 위해 실시된 영남 유일의 특별과거시험인 '도산별과'의 가치를 조명하고, 도산별과 행사를 통해 세대 간의 소통 문화를 만들고자 한다.","1. 메인프로그램 : 도산별과대전2. 부대프로그램 : 도산별과 재현행사, '나도선비' 가족체험 행사, 장원급제 행렬3. 소비자 참여 프로그램 : 전통차 시음, 합격떡 나눔4. 기타 내용 : 통통통 도산별과",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/23/3000323_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/25/3000325_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/26/3000326_image2_1.jpg']"
독일마을맥주축제,경상남도 남해군 독일로 89-7남해군 독일마을,055-860-8603,128.0383624398,34.8000859569,무료,,,,,,남해군 독일마을,http://tong.visitkorea.or.kr/cms/resource/21/2993621_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/21/2993621_image3_1.JPG,20231006,20231008,10:00~21:30,,,,"1960년대부터 70년대까지 우리나라 경제발전에 이바지한 파독 광부 간호사들이 자리잡은 남해군 독일마을그곳에서 매년 10을 마을주민들과 함께 옥토버페스트를 개최한다. 오크통과 술잔을 가득채운 맥주, 사람들의 환호와 열기, 아름답고 세련된 유럽 공연 등한국 속 독일을 만날 수 있다. 후회없이 즐겨라~!  주저없이 소리쳐라~! Prost~!","1. 메인프로그램 : 퍼레이드, 유럽식 공연, 낭만콘서트, 옥토버나이트, 체험행사 등2. 부대프로그램 : 파독광부간호사 토크쇼, 마술쇼 등3. 소비자 참여 프로그램 : 옥토버챌린지, 술잔을beer 등 다양한 문화행사",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/22/2993622_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/23/2993623_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/24/2993624_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/25/2993625_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/26/2993626_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/27/2993627_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/29/2993629_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/30/2993630_image2_1.jpg']"
돈의문골목시장,서울특별시 종로구 송월길 14-3 국도빌딩,02-739-6995,126.9685385292,37.5688787955,무료,,,,,,돈의문박물관마을,,,20230902,20230930,11:00~17:00 /12:00~18:00,,,,"골목시장의 정취를 재현하고 다양한 살거리와 즐길거리를 마주하는 은 돈의문박물관마을의 골목과 전시관 등 특색 있는 공간을 즐기는 도심 관광형 프로젝트로 마을 장터를 현 시대에 맞게 구현하고 서울시민의 라이프 스타일을 반영한 다양한 물품들을 만나볼 수 있는 플리마켓이다.
","□ 행사 개요
○ 시간 : 11:00~17:00 /12:00~18:00
○ 장소 : 돈의문박물관마을 골목 곳곳에서
○ 주최 : 서울특별시
○ 주관 : 돈의문박물관마을

□ 플리마켓
○ 수공예품, 레트로, 식품, 문구, 완구 등

□ 다시장터
○ 문구, 완구, 아동서적, 학용품, 의류 등 시민 셀러의 중고상품

□ 체험
○ 실크스크린으로 '돈의문골목시장'만의 장바구니 꾸미기
○ 골목낙서한바탕

□ 이벤트 
○ 뻥이요 아저씨가 찾아온다!
○ 추석맞이 이벤트

□ 놀이
○ 골목놀이 (제기차기, 대형윷놀이 등)",,,,False,[]
동래읍성역사축제,부산광역시 동래구 문화로 80(명륜동),051-550-4094,129.0901347694,35.2121421097,,,,,,,"동래문화회관, 동래읍성, 온천장 일원",http://tong.visitkorea.or.kr/cms/resource/12/2992612_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2992612_image3_1.jpg,20231013,20231015,10:00~21:00,,전연령 가능함,,"단풍이 아름다운 10월의 가을 하늘아래 1592년, 조선 동래를 만나다라는 슬로건으로 역사와 전통의 향연 속에 개최되는 동래읍성역사축제는 역사교육형 체험 축제이다.축제의 대표 프로그램인 동래성 전투재현 뮤지컬 외로운 성은 1592년 임진왜란 당신 전사이가도난을 외치며 목숨으로 동래성을 지키고자 했던 송상현 동래부사와 동래읍성민들의 처절한 항쟁을 재조명하며, 동래읍성 북문 언덕에서 연출하여 숲속 관람객이 극중의 일원이 되어 불꽃같은 감동과 전율로 카타르시스를 경험하게 될 것이다.지금의 부산시장과 같은 위치인 동래부사의 신임 행차와 야류 길놀이를 한번에 즐길 수 있는 동래부사행차 길놀이와 1592년 조선, 동래로 입장하는 여러가지 관문체험, 임진왜란의 동래성 전투를 기억하는 기억의 공간, 430여년전 동래읍성민들의 일상을 체험해보는 동래장터체험, 나도 모르게 어깨가 들썩 동래학춤 한마당 등 여러가지 공연과 체험들은 1592년으로 시간을 돌려놓을 것이다.동래읍성역사축제는 동래의 전통과 문화, 숭고한 선열들의 구국정신을 중심으로 역사의 산 교육장으로 교육(education)과 오락(entertainment)이 결합된 에듀테인먼트(Edutainment)의 역사교육형 축제로써 여러분의 문화적 욕구를 만족시킬 것이다.","1. 대표프로그램 : 동래부사행차길놀이, 동래성전투재현 실경 뮤지컬, 동래세가닥줄다리기2. 주제프로그램 : 1592년 조선을 만나다(관문체험), 1592년 동래를 즐기다(동래장터체험)3. 문화·공연 프로그램 : 개막공연, 동래읍성가요제, 나도 모르게 어깨가 들썩, 전통 줄타기, 동래부사 집무재현 마당극, 전기수 이야기 버스킹, 도사 전우치 마술 버스킹, 슬기로운 읍성민 체육생활, 읍성민 솜씨자랑 등4. 참여·체험 프로그램 : ‘동래성, 기억의 공간’주제관 체험, ‘조선 최고의 과학자’장영실 과학 체험, ‘또 다른 동래성 전투’조선 힙쟁이 댄스 배틀, ‘여기는 클럽 조선’한복 디스코 파티, 동래 한걸음 야행, 동래읍성 따라걷기, ‘엎어라 뒤집어라’파전 만들기, 동래 혜민서 등5. 부대행사 : 임진왜란 추모 제향, 동래세일대축제, 소원담은 소망등 달기, 주민자치회 프로그램 발표회 및 전시회, 먹거리 장터, 옥토버페스트  [축제 먹거리 알리오] 축제 1주일 전 공개 예정.",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/13/2992613_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/14/2992614_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/15/2992615_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/16/2992616_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/17/2992617_image2_1.JPG']"
동아시아문화도시 전주,전라북도 전주시 완산구 기린대로 213 대우빌딩,063-281-6314,127.1463616306,35.8257796233,무료,,,,,,리셉션-덕진공원 연화정 도서관,http://tong.visitkorea.or.kr/cms/resource/73/2978173_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2978173_image3_1.jpg,20230426,20231110,09:00~18:00,,,,"동아시아문화도시는 한·중·일 3국간 문화다양성 존중이라는 기치 아래, ""동아시아의 의식, 문화교류와 융합, 상대문화 이해""의 정신을 실천하기 위해 매년 개최하는 문화교류 행사이다. 2023년 동아시아문화도시로는 한국 전주시, 중국 청두시와 메이저우시, 일본 시즈오카현이 선정되었다. 연중 펼쳐지는 한·중·일 3국의 다채로운 문화교류행사에 여러분의 많은 관심과 참여 부탁한다.",,,,,False,[]
메이커 페어 서울(Maker Faire Seoul),서울특별시 노원구 한글비석로 160 서울시립과학관,02-970-4558,127.0773848578,37.6421666784,무료,,,,,,서울시립과학관,,,20231008,20231009,11:00 ~ 17:30,1~2시간,전연령 가능,,"메이커 페어 서울은 2012년 국내 최초의 메이커 행사로 메이커 운동을 대중에 소개하였다. 판데믹 이전 마지막 이벤트였던 2019년의 제8회는 국내 최대 메이커 행사로 메이커 700여 명이 150개가 넘는 프로젝트를 전시하였고, 관람객 1만 6천 명 이상이 방문하였다. 올해 제9회로 다시 시작하는 메이커 페어 서울은 미국 메이커 커뮤니티와의 독점 계약으로 서울시립과학관에서 매년 개최된다.","- 부스운영 메이커 모집 : ~2023.7.17.(일)까지.
- 일반 참여자 모집 : 2023. 8월 이후
- 행사 내용 : 메이커 참여부스 60개 운영, 전문가 특강 및 워크숍 등",,,,False,[]
목포항구축제,전라남도 목포시 해안로 182 목포항연안여객터미널,061-270-8431,126.3841998359,34.7820460290,"무료일부 체험 및 음식(푸드트럭, 푸드존)부스 유료",,,,,,목포항 및 삼학도일원,http://tong.visitkorea.or.kr/cms/resource/44/2861044_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/2861044_image3_1.jpg,20231020,20231022,11:00~22:00,기간내자유,전연령가능,,"목포항구축제는 해양문화역사를 바탕으로 우리 고유의 해양문화를 보존하며, 국내 유일 콘텐츠인 '파시'를 주제로 파시경매 등 시민과 함께 화합하고 나아가는 퍼레이드 등 목포항의 낭만을 가득 담은 행사로 찾아오는 관광객들에게 즐거움과 축제를 선사하는 가을 축제이다.","1. 대표프로그램  - 청년파시로드 퍼레이드: 청년이 찾는 큰목포를 슬로건으로 목포역 광장에서 출발, 청년, 외국인,시민들의 파시퍼레이드 연출  2. 부대프로그램  - 어등터널 조성, 글로벌푸드존, 청년하이벌페스티벌 등  3. 공연 및 경연 프로그램 : 청년디스코파티, 목포항구 EDM파티  - 청년디스코파티 : 과거 목포가수 이난영부터 현대의 K-POP까지 미디어를 활용한 퍼포먼스 연출  4. 체험 및 전시프로그램 : 파시경매체험, 구이터체험, 어구체험 등  - 파시경매체험 : 목포항 가을바다의 체험을 진행하는 바지선 옆에 선박을 계류시키고 싱싱한 수산물을 경매하는 이색 체험행사 [축제 먹거리 알리오] 축제 1주일 전 공개 예정.",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/45/2861045_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/47/2861047_image2_1.jpg']"
무예24기 시범공연,경기도 수원시 팔달구 정조로 825(남창동),수원시립공연단(031-267-1644),127.0134508573,37.2816684780,공연 관람 무료(화성행궁 입장료 별도),,,,,,화성행궁 유여택,http://tong.visitkorea.or.kr/cms/resource/62/1998262_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/1998262_image2_1.jpg,20211222,20231231,"매주 화~일요일 11:00~11:30/14:00~14:20(오후 공연은 토, 일요일만 진행)날씨에 따라 공연시간 변동(홈페이지 참조)",30분,전연령 가능,,"무예24기란, 정조의 명을 받은 실학자 이덕무, 박제가와 무예의 달인 백동수가 1790년에 편찬한 「무예도보통지」의 24가지 무예를 말한다. 「무예도보통지」는 조선 전래의 무예는 물론, 중국과 일본의 우수한 무예를 적극 수용하여 '24기(技)'로 정리한 무예교범서로서 부국강병의 실학정신이 담겨 있다. 무예24기는 화성에 주둔했던 당대 조선의 최정예부대 장용영 외영 군사들이 익혔던 무예로서 역사적 가치는 물론 예술적, 체육적 가치가 아주 높은 무형의 문화유산이다. 이곳 화성행궁의 북군영과 남군영에 주둔한 군사들 또한 무예24기를 수련하여 행궁호위에 최선을 다했다. 화성 행궁의 복원과 때를 같이하여 우리 민족의 건강한 몸짓과 활달한 기상이 담긴 무예 24기 시연을 펼친다.","수원 화성행궁 무예24기 상설시범 공연은 철저한 고증을 통해 제작된 조선후기 의복 및 갑주와 무기를 사용하여 시범이 진행된다. 에 실린 군사무예를 기반으로 절도있는 장용영 군사들의 입장, 활쏘기, 창검법과 맨손무예인 권법, 월도와 환도 등을 이용한 실전 베기시범이 이어진다. 여기에 전통 무용을 가미시킨 화려한 검무가 추가되었다. 모든 시범은 전통음악을 배경으로 하고 깃발, 대고, 호준포 등 다양한 조선시대 군사신호 사용의 방법을 함께 만나 볼 수 있다.",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/63/1998263_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/65/1998265_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/66/1998266_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/67/1998267_image2_1.JPG']"
문화가 있는 날 10주년 페스타,서울특별시 종로구 세종대로 175광화문 광장 및 전국 전역,02-2623-3100,126.9763210635,37.5720618985,무료,,,,,,서울 광화문 광장 및 전국 전역,http://tong.visitkorea.or.kr/cms/resource/66/2995266_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2995266_image3_1.jpg,20231004,20231029,행사별상이,,,,"대한민국 문화가 있는 날의 10년을 맞이하여, 전국 전역에서 전국민 모두가 문화가 있는 날을 함께 즐길 수 있는 축제의 장이다.10월 한달간 전국에서 공연, 전시, 축제 등 300회 이상의 문화가 있는 날 프로그램이 진행되며, 10월 20일(금)부터 22일(일)까지 서울 광화문광장 일대에서 청춘마이크페스티벌, 생활문화마켓, 전시, 문화프로그램 등 특별행사가 진행된다.",1. 문화가 있는 날 10주년 기념식: 10월 25일(수)예정2. 문화가 있는 날 10주년 특별행사: 10월 20일(금)~22일(일)/서울광화문광장3. 기획전시: 10월 23일(월)~10월 29일(일)예정4. 성과포럼: 1차)10월 4일(수) / 2차)10월 11일(수) / 3차)10월 18일(수) / 4차)10월 25일(수),,,,False,[]
문화가 있는 날 청춘마이크 ,경기도 화성시 동탄순환대로 69동탄 호수공원 및 그외 장소는 홈페이지 참조,070-4102-6757,127.1024487705,37.1669527885,무료,,,,,,동탄 호수공원 및 그외 홈페이지 참조,http://tong.visitkorea.or.kr/cms/resource/12/2995212_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/12/2995212_image3_1.png,20230531,20231129,15:00~20:00 (매달 문화가 있는 날 주간 수·토·일),,,,"2023 문화가 있는 날 청춘마이크 '평화를 만드는 길굿'은 문화체육관광부가 주최하고 지역문화진흥원, 문화발전소 열터가 주관하는 사업이다. 청춘마이크 '평화를 만드는 길굿'은 19팀이 세 개의 프로젝트 팀으로 나뉘어 파주 임진각, 서산 해미읍성, 대천·만리포 해수욕장, 경주 첨성대, 여수 이순신광장, 양평 두물머리 등 전국 각지에서 평화를 주제로 거리공연을 진행할 예정이다. 참여 예술가는 전통연희, 비보잉, 아카펠라, 재즈팝, 마술, 국악, 성악 등 다양한 장르로 구성되어 있다. ",청춘마이크 '평화를 만드는 길굿'은 아티스트별 공연 및 프로젝트팀 콜라보 공연으로 진행된다. ,,,,False,"['http://tong.visitkorea.or.kr/cms/resource/17/2995217_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/18/2995218_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/19/2995219_image2_1.jpg']"
뮤직드라마 '당신만이',서울특별시 종로구 이화장길 26(이화동),070-8245-2602,127.0039128630,37.5766424167,"50,000원",,,,,,JTN 아트홀 4층,http://tong.visitkorea.or.kr/cms/resource/45/2989445_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2989445_image3_1.jpg,20230101,20231231,"목요일,금요일 19:30 - 21:30 주말,공휴일 15:00 - 17:00",120분,,,"뮤직드라마  20대에겐 결혼생활 미리보기 50대에겐 결혼생활 다시보기 미리보고 다시보고 요리조리 뜯어보는 결혼생활 공식 설명서!! 경상도에 사는 한 부부의 37년간의 우여곡절 러브스토리를 90년대의 대중가요와 함께 옴니버스 식으로 담아낸 뮤직드라마 '당신만이'는 ‘클린 컨텐츠상'을 수상한 유해성이 없는 건강한 재미를 제공하는 유익한 가족공연이며 '2017년 한류문화대상 연극/뮤지컬 부문 대중문화대상'을 수상한 작품으로 좋은 공연을 널리 소통하고자 영어, 일본어, 중국어, 한국어 자막을 제공하고 있다. 또한, 탄탄한 대본과 짜임새 있는 연출, 실력파 배우들의 호연으로 2012년 부터 지금까지 오픈런으로 대학로에서 꾸준히 사랑 받은 장기 공연중인 작품으로 커플에서부터 중년, 노년부부까지 일생을 담고 있다. 사랑과 가족을 주제로 소소한 일상 속의 재미와 감동을 그렸으며 온 가족이 함께 소통, 공감하며 관람할 수 있는 따뜻한 가족극이다.",,,,,False,"['http://tong.visitkorea.or.kr/cms/resource/41/2989441_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/42/2989442_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/43/2989443_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/44/2989444_image2_1.jpg']"
벽초지수목원 세계의 다알리아 축제,경기도 파주시 부흥로 242벽초지수목원,,126.8742905293,37.8014139252,"성인: 9,500원 경로: 7,500원 청소년: 7,500원 어린이: 6,500원",,,,,,벽초지수목원,http://tong.visitkorea.or.kr/cms/resource/07/2999907_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2999907_image3_1.jpg,20230901,20231020,09:00~19:00,,,,"경기도 파주시에 위치한 벽초지수목원에서 ""벽초지수목원 세계의 다알리아 축제""를 개최한다.2023년 가을을 맞이해 경기도 파주시를 대표하는 벽초지수목원에서 """"세계의 다알리아 축제""""를 9월부터 서리가 내리는 11월 말까지 개최한다. 벽초지수목원의 대표 정원인 설렘의공간과 신화의공간에서는 전 세계에서 볼 수 있는 다양한 다알리아 꽃들이 약 150여종의 다른 꽃들과 함께 어우러짐을 관상할 수 있다.또한, 벽초지수목원 내 화원에서는 수목원 곳곳에 식재되어있는 프레야스 파소 도블레, 빅브라더, 문라이트 등 약 70여종의 다알리아 꽃들이 각각 화분에 전시되어 눈의 즐거움을 선사한다. 이와 함께, 다알리아 전문 육종가 송준호 단비농장 대표가 개발중인 새로운 다알리아 품종 전시와 그 개발 방법을 소개하여 교육적인 면을 선보인다. 동서양의 정원들을 아름답게 가꿔놓은 벽초지수목원은 K-컬쳐를 선도하는 드라마, 영화, 예능프로그램의 주요 촬영지로서 23년도 가을엔 더욱 더 다양한 꽃들을 준비해 가족, 친구 그리고 연인들에게 아름답고 향기로운 추억을 가져다 줄 것이다.","1. 메인프로그램 : 벽초지수목원 화원 내 플라워힐(FLOWERHILL) 에서는 커팅가든이 오픈하여 다알리아 꽃들을 절하할 수 있는 체험 제공2. 부대프로그램 : 벽초지수목원 다알리아 꽃 70여종의 구근들을 관찰하고 구근 관리법 및 구매 신청 제공3. 이벤트 : 인스타그램 이벤트로 벽초지수목원 부채 제공4. 갤러리에는 '벽초지 사진전'을 테마로 사계의 벽초지수목원, 관람객들이 직접 찍은 사진들을 전시하고 있다.5. KCIA외식업 이탈리아 음식 부문 우수상에 빛나는 보타니 브런치카페에서는 아름다운 화단을 바라보며 피자, 파스타 등 쉐프의 야심찬 메뉴를 만나볼 수 있다.6. 먼치먼치 푸드코트에서는 향기로운 커피류와 남녀노소가 즐길 수 있는 스낵류를 즐길 수 있다.",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/06/2999906_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/08/2999908_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/09/2999909_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/10/2999910_image2_1.jpg']"
별바다부산 나이트페스타,부산광역시 사하구 다대동다대포해변공원 등,051-626-8816 (나이트 뮤직 캠크닉) 051-714-4758 (나이트 푸드테라스),128.9669000147,35.0464139505,"프로그램 별 상이   ○ 나이트 뮤직 캠크닉 - 10,000원 / 인   ○ 나이트 푸드테라스  - 시그니처(8월) : 40,000원 / 인 - 스탠다드(9월) : 10,000원 / 인 , 프리미엄(10월) : 60,000원 / 인",,,,,,다대포해변공원 등,http://tong.visitkorea.or.kr/cms/resource/01/2997401_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/01/2997401_image3_1.png,20230701,20231029,프로그램별 상이,,,,"한국관광공사와 부산광역시가 공동으로 ""제2회 별바다부산 나이트페스타""를 개최한다. ""별바다부산 나이트페스타""는 작년 영도구 등에서 처음으로 개최되어 뜨거운 반응을 얻은 바 있으며 올해는 사하구와 북구 등에서 확장 개최된다. ""제2회 별바다부산 나이트페스타""는 △전문가와 영화 속 음식과 요트를 즐기는 ‘나이트 푸드테라스’(7월 ~ 10월), △사하구 다대포해변공원에서 지역 수제맥주와 아티스트 공연을 즐기는 ‘나이트 뮤직 캠크닉(캠핑 피크닉)’(8월 ~ 10월), △북구 화명생태공원 금빛노을브릿지에서 야시장(10월) 등 3개 프로그램으로 구성되어 있다.","(별바다부산 나이트 뮤직 캠크닉)1. 메인프로그램 : 아티스트 버스킹 공연, 부산 수제맥주와 함께 즐기는 감성 캠핑 / 피크닉 경험2. 부대프로그램(소비자 참여프로그램) : 현장 퀴즈 이벤트 등3. 기타 내용 : 사전예약제(10,000원)으로 운영되며, 부산 수제맥주 , 건어물 , 기념품 매트 기본 제공(별바다부산 나이트 푸드테라스)1. 시그니처 프로그램 : 영화 속 음식을 즐기고 , 야경 요트투어까지 즐길 수 있는 프로그램 (영화 관람 , 푸드테라스 , 야간 요트투어)2. 스탠다드 프로그램 : 영도대교를 바라보며 영화를 즐기고, 부산 대표 수제 맥주와 먹거리를 즐기는 프로그램 (영화 관람, 시네마 토크)3. 프리미엄 프로그램 : 광안대교 일몰과 함께 영화 속 OST 공연과 토크를 와인과 페어링해 즐기는 프로그램 (시네마 공연, 야간 요트투어)",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/00/2997400_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/50/2997650_image2_1.png']"
보은대추 축제,충청북도 보은군 보은읍 이평리보청청 및 속리산 일원,043-540-3392,127.7234201582,36.4863477992,무료,,,,,,온라인축제,http://tong.visitkorea.or.kr/cms/resource/34/2995234_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2995234_image3_1.jpg,20231013,20231022,09:00 ~18:00,,,,"2017년도에 이어 3회연속 충북 농특산물 판매활성화 최우수축제로 선정된 보은대추축제는, 임금님께 진상하였던 명품 보은 대추와 보은의 청정한 자연에서 자란 우수한 품질의 농특산물을 온라인장터 및 생대추 주문 콜센터를 통해 쉽게 받아볼 수 있으며, 대추 및 농특산물 판매, 개폐막식 등 공연프로그램, 다양한 체험활동 등을 즐길 수 있다. ","메인프로그램- 보은대추축제 홈페이지 운영(www.boeunjujube.com)- 생대추 주문 콜센터 운영(1522-0578)- 보은대추 등 농특산물 온라인 장터(보은대추.SHOP) 운영- 개폐막식 및 각종 공연프로그램 운영- 다양한 체험 프로그램 운영- 속리산 단풍가요제, 속리산 문장대 등반대회 등 연계행사 진행",,,,False,[]
본태박물관 쿠사마야요이 특별전시,제주특별자치도 서귀포시 산록남로762번길 69 본태박물관,0507-1342-8108,126.3920056428,33.3040082463,"유료 성인 25,000원/청소년(중고등학생) 20,000원/아동(36개월~초등학생) 15,000원",,,,,,본태박물관,,,20230901,20240209,"10:00 ~ 18:00, 연중무휴",1시간 내외,전 연령,,"다시 찾아온 전설, 현대미술의 살아있는 신화 쿠사마야요 특별전시가 본태박물관에서 열린다. 2014년 많은 사랑을 받았던 ""KUSAMA YAYOI A DREAM IN JEJU""에 이어 2023년 ""Seeking the Soul""이 개최된다. 이번 전시는 전 세계 최초로 공개되는 쿠사마야요이의 대표 시리즈 호박 ""STARING PUMPKIN""을 비롯해 대표적인 회화, 설치, 미디어 아트 등 45점을 선보인다. 쿠사마 야요이는 끊임없이 반복되는 물방울 무늬를 통해 독특한 자기만의 예술세계를 구축했다. 그녀는 공황장애로 평생을 투병하며 강박과 환영의 두려움을 극복하고 이를 예술로 승화시켰다. 강박적인 물방울 무늬에 대한 집착은 불안의 고통에서 해방되기 위한 행위이자,이 세상도 함께 치유되기를 소망하는 작가의 바람처럼 보는 이에게 무한한 감동을 전해 준다. 2012년에 이어 2023년에도 패션 브랜드 루이비통과 쿠사마 야요이 컬렉션을 공동으로 작업했다.",,,,,False,[]
부산고등어축제,부산광역시 서구 암남동135-5,051-231-4085,129.0164282448,35.0757393568,무료,,,,,,송도해수욕장,http://tong.visitkorea.or.kr/cms/resource/74/2864174_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2864174_image3_1.jpg,20231027,20231029,10:00~21:00,,,,"부산고등어축제는 송도용궁구름다리, 송도구름산책로, 송도해상케이블카 등 다양한 관광 자원을 보유한 대한민국 제1호 공설해수욕장이자 대한민국 핫 플레이스로 각광받고 있는 송도해수욕장에서 2008년부터 매년 10월 중에 개최되고 있다.연근해에서 생산되는 고등어의 90% 가량을 어획하고 있는 대형선망수협과 전국 고등어 물량의 80%가 거래되고 있는 부산공동어시장이 소재한 지역 특성을 활용하여 먹거리, 문화예술, 관광자원과 연계한 축제의 관광 상품화를 통해 지역 경제 활성화와 관광산업 육성의 시너지 효과를 창출하고자 기획되었다. 국민생선 고등어를 테마로 수산업 관계자와 지역 주민이 함께 기획하고 참여·홍보함으로써 단순한 먹거리 축제가 아닌 볼거리, 즐길거리가 있는 문화예술축제이자 수산 관련 산업을 육성·발전시키는 대한민국 대표 수산업 문화축제로 명성이 높아지고 있다. 대표 프로그램인 부산공동어시장 현장체험, 맨손 고등어 잡기, 고등어 깜짝 경매를 비롯한 카약타고 고등어 찾기, 고등어 요리왕을 찾아라, 고등어맨 종이배 경주대회, 수산기업홍보관, 고등어 먹거리장터 등 독특하고 참신한 체험·투어·전시·경연·공연 프로그램을 운영하여 국내외 관광객들에게 이색적인 축제 향유의 기회를 제공하고 있다.","○ 개막식&개막축하공연- 10. 21.(금) 18:00~20:30, 아이넷티비 스타쇼(배일호, 현숙, 유지나, 진시몬, 양지원, 임수정, 박혜신, 정다한, 한봄 등 14명)○ 레이저 EDM 파티- 10. 22.(토) 19:00~20:00, DJ라라와 댄서들의 레이저 EDM 공연○ 스트릿 댄스 대회- 10. 23.(일) 15:00~17:00, 신나는 K-POP 댄스 경연대회○ 송도 핫 스테이지 폐막공연- 10. 23.(일) 18:00~19:30, 인가가수 나상도, 우연이 콘서트○ 부산공동어시장 현장 체험- 토~일 06:00, 회당 50명, 사전접수○ 카약 타고 고등어 찾기- 토~일 11:00/13:00, 회당 20팀, 사전접수○ 고등어 종이배 경주대회- 토 12:00, 50팀, 사전·현장접수○ 맨손 고등어 잡기- 토~일 13:00/14:30/16:00, 회당 100명, 현장참여○ 고등어 깜짝 경매- 토~일 13:00/15:00/17:00, 현장참여○ 고등어 요리왕을 찾아라!- 토~일 14:00, 20팀, 중앙광장, 현장참여○ 고등어 ‘OX’퀴즈- 토 16:00, 특설무대, 현장참여○ 남항대교 걷기대회(송도해수욕장→거북섬→남항대교(영도지점)→거북섬→송도해수욕장 / 약 6km / 100분 소요)○ 고등어 먹거리 장터(고등어구이, 고등어회, 고등어 추어탕 등 고등어 음식 판매)○ 키즈놀이마당(에어바운스 놀이터 운영)○ 체험부스(빛 팔찌 만들기, 근대문화유산 미니어처 만들기, 구덕망깨소리 전통의상 체험, 비즈&양말목공예체험, 타로카드, 풍선아트, 천연 슬라임 만들기, LED 캐릭터 조명 만들기, 나만의 머그컵 만들기, 썬캐처 만들기 등)○ 홍보부스(수산기업홍보관 , 부산고등어식품 전략사업단, 꼬등어 캐릭터 홍보관, 부산고등어빵 홍보 등)",,,,False,[]
